# r(Angstrom) g(r)
7.751642999999999617e+00 9.836592466987008621e-01
7.781689000000000078e+00 9.840207951385483431e-01
7.811733000000000260e+00 9.847832620839397366e-01
7.841778999999999833e+00 9.856031579551511879e-01
7.871823000000000015e+00 9.861382280909848363e-01
7.901868999999999588e+00 9.861158407665309156e-01
7.931912999999999769e+00 9.853868807291211729e-01
7.961959000000000231e+00 9.839557757750959643e-01
7.992003000000000412e+00 9.819842194941033053e-01
8.022049000000000873e+00 9.797599674779570167e-01
8.052094000000000307e+00 9.776466259653737723e-01
8.082138000000000488e+00 9.760150422761887379e-01
8.112183999999999173e+00 9.751739014995038923e-01
8.142229000000000383e+00 9.753112403168289202e-01
8.172273999999999816e+00 9.764573835184852113e-01
8.202317999999999998e+00 9.784764365580991274e-01
8.232364000000000459e+00 9.810884288846842827e-01
8.262408999999999892e+00 9.839172100743635019e-01
8.292453999999999326e+00 9.865578526118484737e-01
8.322497999999999507e+00 9.886463320055576265e-01
8.352543999999999969e+00 9.899233746468328876e-01
8.382588999999999402e+00 9.902801501440846588e-01
8.412634000000000611e+00 9.897740497812158589e-01
8.442678000000000793e+00 9.886167606203272173e-01
8.472723999999999478e+00 9.871319978503406700e-01
8.502769000000000688e+00 9.856967803553906560e-01
8.532814000000000121e+00 9.846693512871024234e-01
8.562858999999999554e+00 9.843272010867492039e-01
8.592904000000000764e+00 9.848146305208311801e-01
8.622949999999999449e+00 9.861205770772943913e-01
8.652993999999999630e+00 9.880832343488389347e-01
8.683039000000000840e+00 9.904231118978419346e-01
8.713084000000000273e+00 9.927972536073262910e-01
8.743130000000000734e+00 9.948639363177714801e-01
8.773173999999999140e+00 9.963484896451608730e-01
8.803219000000000349e+00 9.970946095039076029e-01
8.833263999999999783e+00 9.970913677557675658e-01
8.863310000000000244e+00 9.964759611476136092e-01
8.893354000000000426e+00 9.955060197720059234e-01
8.923398999999999859e+00 9.945111226655256598e-01
8.953443999999999292e+00 9.938312366233050810e-01
