# r(Angstrom)	g(r)	in_region	integrand
3.220000000000000195e+00 8.927155735983844931e-01 0.000000000000000000e+00 1.022406480714931298e+01
3.240000000000000213e+00 8.893388185541331037e-01 0.000000000000000000e+00 1.031231115697799439e+01
3.259999999999999787e+00 8.888327543773819617e-01 0.000000000000000000e+00 1.043407585398827386e+01
3.279999999999999805e+00 8.911813019684368120e-01 0.000000000000000000e+00 1.059040313818015733e+01
3.299999999999999822e+00 8.962735764414223594e-01 0.000000000000000000e+00 1.078120270955364468e+01
3.319999999999999840e+00 9.039310117930197119e-01 0.000000000000000000e+00 1.100551050810873122e+01
3.339999999999999858e+00 9.139356794590811628e-01 0.000000000000000000e+00 1.126178689384542153e+01
3.359999999999999876e+00 9.260503206156679434e-01 0.000000000000000000e+00 1.154813574676371069e+01
3.379999999999999893e+00 9.400339174353541383e-01 0.000000000000000000e+00 1.186248464686360293e+01
3.399999999999999911e+00 9.556492592079646187e-01 0.000000000000000000e+00 1.220267657414509799e+01
3.419999999999999929e+00 9.726646840118664539e-01 0.000000000000000000e+00 1.256649314860819544e+01
3.439999999999999947e+00 9.908494434556558428e-01 0.000000000000000000e+00 1.295159615025289312e+01
3.459999999999999964e+00 1.009963471821625047e+00 0.000000000000000000e+00 1.335539087907919331e+01
3.479999999999999982e+00 1.029748288444126247e+00 0.000000000000000000e+00 1.377489527508709521e+01
3.500000000000000000e+00 1.049916142707602473e+00 0.000000000000000000e+00 1.420657671827659740e+01
3.520000000000000018e+00 1.070141843835590523e+00 0.000000000000000000e+00 1.464621522864770320e+01
3.540000000000000036e+00 1.090059470949011455e+00 0.000000000000000000e+00 1.508882618620040894e+01
3.560000000000000053e+00 1.109265042987401362e+00 0.000000000000000000e+00 1.552866289093471863e+01
3.580000000000000071e+00 1.127324915425816920e+00 0.000000000000000000e+00 1.595930218285062629e+01
3.600000000000000089e+00 1.143791944374244363e+00 0.000000000000000000e+00 1.637384874194814088e+01
3.620000000000000107e+00 1.158225616432819072e+00 0.000000000000000000e+00 1.676521186822725440e+01
3.640000000000000124e+00 1.170217981484159564e+00 0.000000000000000000e+00 1.712648638168797177e+01
3.660000000000000142e+00 1.179419724649033885e+00 0.000000000000000000e+00 1.745136076233028533e+01
3.680000000000000160e+00 1.185566864131875509e+00 0.000000000000000000e+00 1.773456045015420557e+01
3.700000000000000178e+00 1.188505604467826604e+00 0.000000000000000000e+00 1.797229014515972523e+01
3.720000000000000195e+00 1.188209087098748729e+00 0.000000000000000000e+00 1.816257782734684767e+01
3.740000000000000213e+00 1.184789730478471581e+00 0.000000000000000000e+00 1.830556865671557532e+01
3.759999999999999787e+00 1.178500341419391306e+00 0.000000000000000000e+00 1.840365747326589485e+01
3.779999999999999805e+00 1.169728006092983108e+00 0.000000000000000000e+00 1.846151029699782598e+01
3.799999999999999822e+00 1.158976023622608986e+00 0.000000000000000000e+00 1.848589082791135141e+01
3.819999999999999840e+00 1.146838586395591886e+00 0.000000000000000000e+00 1.848535356600648072e+01
3.839999999999999858e+00 1.133968000017176792e+00 0.000000000000000000e+00 1.846979125128321542e+01
3.859999999999999876e+00 1.121036355258109074e+00 0.000000000000000000e+00 1.844985874374155088e+01
3.879999999999999893e+00 1.108696752099830096e+00 0.000000000000000000e+00 1.843635090338148785e+01
3.899999999999999911e+00 1.097542002759941848e+00 0.000000000000000000e+00 1.843949839020302406e+01
3.919999999999999929e+00 1.088070372623908044e+00 0.000000000000000000e+00 1.846833986420616114e+01
3.939999999999999947e+00 1.080655811243126374e+00 0.000000000000000000e+00 1.853013468539090525e+01
3.959999999999999964e+00 1.075526401126755127e+00 0.000000000000000000e+00 1.862988553375724976e+01
3.979999999999999982e+00 1.072753464861849082e+00 0.000000000000000000e+00 1.877002318930519564e+01
4.000000000000000000e+00 1.072251862838531133e+00 0.000000000000000000e+00 1.895027563203474230e+01
4.019999999999999574e+00 1.073790866654101173e+00 0.000000000000000000e+00 1.916772416194588402e+01
4.040000000000000036e+00 1.077013673091478774e+00 0.000000000000000000e+00 1.941702483903863907e+01
4.059999000000000358e+00 1.081467064665186717e+00 0.000000000000000000e+00 1.969082398874420647e+01
4.080000000000000071e+00 1.086637178528887970e+00 0.000000000000000000e+00 1.998037455476893953e+01
4.099999000000000393e+00 1.091985211401687250e+00 0.000000000000000000e+00 2.027603337923699556e+01
4.120000000000000107e+00 1.096989905137307986e+00 0.000000000000000000e+00 2.056817705922565054e+01
4.139999000000000429e+00 1.101179394625905861e+00 0.000000000000000000e+00 2.084765866358119624e+01
4.160000000000000142e+00 1.104165783828860103e+00 0.000000000000000000e+00 2.110666831240877883e+01
4.179998999999999576e+00 1.105666905311683657e+00 0.000000000000000000e+00 2.133906593757078696e+01
4.200000000000000178e+00 1.105521736214167383e+00 0.000000000000000000e+00 2.154093775431829982e+01
4.219998999999999612e+00 1.103695430937994049e+00 0.000000000000000000e+00 2.171064268999779756e+01
4.240000000000000213e+00 1.100273814723627952e+00 0.000000000000000000e+00 2.184898314495423932e+01
4.259998999999999647e+00 1.095450740077809959e+00 0.000000000000000000e+00 2.195890028084421886e+01
4.280000000000000249e+00 1.089504878093495277e+00 0.000000000000000000e+00 2.204527172431657434e+01
4.299998999999999683e+00 1.082773685190802970e+00 0.000000000000000000e+00 2.211429714219804410e+01
4.320000000000000284e+00 1.075621105185510906e+00 0.000000000000000000e+00 2.217305569240532392e+01
4.339999999999999858e+00 1.068408473053251484e+00 0.000000000000000000e+00 2.222877457722209371e+01
4.360000000000000320e+00 1.061462386188808171e+00 0.000000000000000000e+00 2.228826828922047554e+01
4.379999999999999893e+00 1.055050375365854221e+00 0.000000000000000000e+00 2.235734128840045543e+01
4.400000000000000355e+00 1.049361858688007132e+00 0.000000000000000000e+00 2.244033659476203724e+01
4.419999999999999929e+00 1.044493932639923406e+00 0.000000000000000000e+00 2.253975542830522016e+01
4.440000000000000391e+00 1.040450188995039937e+00 0.000000000000000000e+00 2.265614276903000857e+01
4.459999999999999964e+00 1.037141999389171287e+00 0.000000000000000000e+00 2.278802451693638886e+01
4.480000000000000426e+00 1.034401890283475955e+00 0.000000000000000000e+00 2.293211297202438104e+01
4.500000000000000000e+00 1.032000786080102595e+00 0.000000000000000000e+00 2.308361353429396345e+01
4.519999999999999574e+00 1.029670402621972070e+00 0.000000000000000000e+00 2.323666720374515293e+01
4.540000000000000036e+00 1.027128239342678606e+00 0.000000000000000000e+00 2.338487832037795400e+01
4.559999000000000358e+00 1.024102911687449380e+00 0.000000000000000000e+00 2.352186942898358879e+01
4.580000000000000071e+00 1.020357404552548530e+00 0.000000000000000000e+00 2.364188037518834662e+01
4.599999000000000393e+00 1.015710226658466109e+00 0.000000000000000000e+00 2.374018171136946265e+01
4.620000000000000107e+00 1.010048248417704908e+00 0.000000000000000000e+00 2.381358659872514494e+01
4.639999000000000429e+00 1.003337581209148288e+00 0.000000000000000000e+00 2.386061276362174866e+01
4.660000000000000142e+00 9.956235829304770357e-01 0.000000000000000000e+00 2.388172799098835242e+01
4.679998999999999576e+00 9.870284120645360648e-01 0.000000000000000000e+00 2.387920774604342711e+01
4.700000000000000178e+00 9.777378397261808907e-01 0.000000000000000000e+00 2.385705755197796663e+01
4.719998999999999612e+00 9.679889383400780423e-01 0.000000000000000000e+00 2.382061373286752826e+01
4.740000000000000213e+00 9.580486232552785086e-01 0.000000000000000000e+00 2.377622892169398128e+01
4.759998999999999647e+00 9.481963872515714042e-01 0.000000000000000000e+00 2.373071143406003713e+01
4.780000000000000249e+00 9.387004866440200601e-01 0.000000000000000000e+00 2.369090086013641283e+01
4.799998999999999683e+00 9.298036852775445338e-01 0.000000000000000000e+00 2.366313579830594804e+01
4.820000000000000284e+00 9.217038730385869183e-01 0.000000000000000000e+00 2.365289086730524559e+01
4.839998999999999718e+00 9.145480430259290694e-01 0.000000000000000000e+00 2.366441689613226629e+01
4.860000000000000320e+00 9.084220324921871148e-01 0.000000000000000000e+00 2.370057794320048572e+01
4.879999999999999893e+00 9.033535696847738716e-01 0.000000000000000000e+00 2.376271986192050889e+01
4.900000000000000355e+00 8.993156808085157605e-01 0.000000000000000000e+00 2.385080628782213807e+01
4.919999999999999929e+00 8.962345233017950941e-01 0.000000000000000000e+00 2.396352010090535600e+01
4.940000000000000391e+00 8.940037300791952024e-01 0.000000000000000000e+00 2.409860858117019333e+01
4.959999999999999964e+00 8.924967467932874987e-01 0.000000000000000000e+00 2.425318244861661654e+01
4.980000000000000426e+00 8.915825076291479245e-01 0.000000000000000000e+00 2.442412218324465201e+01
5.000000000000000000e+00 8.911391053070076840e-01 0.000000000000000000e+00 2.460844942505427824e+01
5.019999999999999574e+00 8.910655112314589399e-01 0.000000000000000000e+00 2.480366219404550776e+01
5.040000000000000036e+00 8.912899629367618815e-01 0.000000000000000000e+00 2.500799235021835898e+01
5.059999000000000358e+00 8.917749107324502988e-01 0.000000000000000000e+00 2.522056728007505200e+01
5.080000000000000071e+00 8.925178764422456723e-01 0.000000000000000000e+00 2.544152190410883208e+01
5.099999000000000393e+00 8.935476924342256044e-01 0.000000000000000000e+00 2.567181997475701749e+01
5.120000000000000107e+00 8.949174862625480786e-01 0.000000000000000000e+00 2.591323628672572355e+01
5.139999000000000429e+00 8.966950689197737967e-01 0.000000000000000000e+00 2.616794327020438615e+01
