# r(Angstrom)	g(r)	in_region	integrand
4.040000000000000036e+00 1.064180978127823307e+00 0.000000000000000000e+00 2.366014316873479117e+01
4.059999000000000358e+00 1.067037234023086034e+00 0.000000000000000000e+00 2.395910405805085475e+01
4.080000000000000071e+00 1.069829468787589111e+00 0.000000000000000000e+00 2.425906336656375117e+01
4.099999000000000393e+00 1.072166564056902471e+00 0.000000000000000000e+00 2.455098422592359597e+01
4.120000000000000107e+00 1.073742548166350508e+00 0.000000000000000000e+00 2.482754290703141109e+01
4.139999000000000429e+00 1.074355204636853856e+00 0.000000000000000000e+00 2.508346393246005235e+01
4.160000000000000142e+00 1.073915651902975998e+00 0.000000000000000000e+00 2.531605203013778294e+01
4.179998999999999576e+00 1.072445913489817437e+00 0.000000000000000000e+00 2.552506758473019488e+01
4.200000000000000178e+00 1.070068655856607931e+00 0.000000000000000000e+00 2.571279989588286696e+01
4.219998999999999612e+00 1.066988726936033416e+00 0.000000000000000000e+00 2.588354002024206579e+01
4.240000000000000213e+00 1.063466364752961635e+00 0.000000000000000000e+00 2.604321630426665735e+01
4.259998999999999647e+00 1.059788236662526861e+00 0.000000000000000000e+00 2.619854878910365059e+01
4.280000000000000249e+00 1.056237076956634491e+00 0.000000000000000000e+00 2.635652153528915065e+01
4.299998999999999683e+00 1.053061618887234596e+00 0.000000000000000000e+00 2.652342715861293598e+01
4.320000000000000284e+00 1.050451846427179481e+00 0.000000000000000000e+00 2.670439778895036298e+01
4.339999999999999858e+00 1.048519395375240748e+00 0.000000000000000000e+00 2.690265074927048161e+01
4.360000000000000320e+00 1.047286586888051874e+00 0.000000000000000000e+00 2.711924946525028446e+01
4.379999999999999893e+00 1.046683499052442734e+00 0.000000000000000000e+00 2.735286013688974904e+01
4.400000000000000355e+00 1.046553054434679941e+00 0.000000000000000000e+00 2.759978816418890446e+01
4.419999999999999929e+00 1.046666278974886843e+00 0.000000000000000000e+00 2.785427874714773466e+01
4.440000000000000391e+00 1.046740951298479994e+00 0.000000000000000000e+00 2.810892920576624476e+01
4.459999999999999964e+00 1.046468803172450723e+00 0.000000000000000000e+00 2.835535896004441625e+01
4.480000000000000426e+00 1.045541172059339718e+00 0.000000000000000000e+00 2.858487606998228259e+01
4.500000000000000000e+00 1.043678537395650308e+00 0.000000000000000000e+00 2.878928813557982025e+01
4.519999999999999574e+00 1.040654237899374612e+00 0.000000000000000000e+00 2.896159479683702642e+01
4.540000000000000036e+00 1.036315783308890959e+00 0.000000000000000000e+00 2.909664829375392259e+01
4.559999000000000358e+00 1.030599494417740125e+00 0.000000000000000000e+00 2.919164481304534320e+01
4.580000000000000071e+00 1.023535583143559302e+00 0.000000000000000000e+00 2.924644257456673913e+01
4.599999000000000393e+00 1.015249053854796690e+00 0.000000000000000000e+00 2.926356377072194448e+01
4.620000000000000107e+00 1.005948034960263193e+00 0.000000000000000000e+00 2.924816633801826882e+01
4.639999000000000429e+00 9.959098699783370812e-01 0.000000000000000000e+00 2.920753841792125627e+01
4.660000000000000142e+00 9.854569124037754202e-01 0.000000000000000000e+00 2.915067528410850173e+01
4.679998999999999576e+00 9.749343899162707938e-01 0.000000000000000000e+00 2.908747726029826808e+01
4.700000000000000178e+00 9.646798044709180564e-01 0.000000000000000000e+00 2.902806245283744957e+01
4.719998999999999612e+00 9.550020322310677212e-01 0.000000000000000000e+00 2.898192680089299955e+01
4.740000000000000213e+00 9.461536864952875270e-01 0.000000000000000000e+00 2.895726332420509763e+01
4.759998999999999647e+00 9.383187483212266367e-01 0.000000000000000000e+00 2.896031378523144539e+01
4.780000000000000249e+00 9.315968117767290391e-01 0.000000000000000000e+00 2.899498797821145502e+01
4.799998999999999683e+00 9.260040394528746832e-01 0.000000000000000000e+00 2.906259040546258987e+01
4.820000000000000284e+00 9.214725182889150767e-01 0.000000000000000000e+00 2.916188615485652491e+01
4.839998999999999718e+00 9.178652622192808863e-01 0.000000000000000000e+00 2.928927514214244709e+01
4.860000000000000320e+00 9.149898159321825375e-01 0.000000000000000000e+00 2.943933157414030433e+01
4.879999999999999893e+00 9.126223139808646856e-01 0.000000000000000000e+00 2.960532775727170929e+01
4.900000000000000355e+00 9.105294289057710433e-01 0.000000000000000000e+00 2.978004113606279546e+01
4.919999999999999929e+00 9.084935472358237618e-01 0.000000000000000000e+00 2.995650883051354540e+01
4.940000000000000391e+00 9.063349073979019010e-01 0.000000000000000000e+00 3.012879422062398405e+01
4.959999999999999964e+00 9.039302253532961462e-01 0.000000000000000000e+00 3.029265980639409861e+01
4.980000000000000426e+00 9.012261542540642711e-01 0.000000000000000000e+00 3.044609642782388903e+01
5.000000000000000000e+00 8.982452267943773494e-01 0.000000000000000000e+00 3.058961936491335720e+01
5.019999999999999574e+00 8.950866834571422626e-01 0.000000000000000000e+00 3.072639975766249165e+01
5.040000000000000036e+00 8.919172307316158843e-01 0.000000000000000000e+00 3.086205018607132899e+01
5.059999000000000358e+00 8.889588047783175684e-01 0.000000000000000000e+00 3.100427955010609793e+01
5.080000000000000071e+00 8.864680847074108971e-01 0.000000000000000000e+00 3.116231226986799641e+01
5.099999000000000393e+00 8.847149871565992418e-01 0.000000000000000000e+00 3.134604209177956591e+01
5.120000000000000107e+00 8.839573588106388602e-01 0.000000000000000000e+00 3.156533361630339130e+01
5.139999000000000429e+00 8.844180047738340322e-01 0.000000000000000000e+00 3.182898506891973867e+01
5.160000000000000142e+00 8.862632460614697782e-01 0.000000000000000000e+00 3.214410134537748576e+01
5.179998999999999576e+00 8.895856558625535593e-01 0.000000000000000000e+00 3.251518801017161309e+01
5.200000000000000178e+00 8.943938285110537567e-01 0.000000000000000000e+00 3.294387089709029226e+01
5.219998999999999612e+00 9.006067559365806829e-01 0.000000000000000000e+00 3.342836891187720028e+01
5.240000000000000213e+00 9.080581068026214453e-01 0.000000000000000000e+00 3.396372847144180440e+01
5.259998999999999647e+00 9.165029818480915358e-01 0.000000000000000000e+00 3.454175120008950017e+01
5.280000000000000249e+00 9.256374867362727743e-01 0.000000000000000000e+00 3.515182890843202301e+01
5.299998999999999683e+00 9.351144023196791277e-01 0.000000000000000000e+00 3.578124662960551916e+01
5.320000000000000284e+00 9.445712817711934273e-01 0.000000000000000000e+00 3.641641152806095505e+01
5.339998999999999718e+00 9.536510109578140160e-01 0.000000000000000000e+00 3.704341108027622909e+01
5.360000000000000320e+00 9.620294179259654133e-01 0.000000000000000000e+00 3.764931493032860033e+01
5.379999999999999893e+00 9.694333444586358262e-01 0.000000000000000000e+00 3.822272546495192813e+01
5.400000000000000355e+00 9.756597833162479194e-01 0.000000000000000000e+00 3.875476159523494601e+01
5.419999999999999929e+00 9.805874084140280278e-01 0.000000000000000000e+00 3.923955120117763329e+01
5.440000000000000391e+00 9.841802098211087646e-01 0.000000000000000000e+00 3.967451016278000964e+01
5.459999999999999964e+00 9.864880824302854068e-01 0.000000000000000000e+00 4.006049162004204334e+01
5.480000000000000426e+00 9.876373546179031404e-01 0.000000000000000000e+00 4.040152615296376837e+01
5.500000000000000000e+00 9.878187205875581522e-01 0.000000000000000000e+00 4.070443938154515706e+01
5.519999999999999574e+00 9.872697164474156795e-01 0.000000000000000000e+00 4.097822260578622888e+01
5.540000000000000036e+00 9.862534680340477866e-01 0.000000000000000000e+00 4.123321694568699769e+01
5.559999000000000358e+00 9.850390830322907076e-01 0.000000000000000000e+00 4.148031400695612092e+01
5.580000000000000071e+00 9.838794549575122783e-01 0.000000000000000000e+00 4.173010101246753578e+01
5.599999000000000393e+00 9.829940878406522309e-01 0.000000000000000000e+00 4.199194113249544813e+01
5.620000000000000107e+00 9.825543184104762462e-01 0.000000000000000000e+00 4.227351360188678342e+01
5.639999000000000429e+00 9.826735805739468255e-01 0.000000000000000000e+00 4.258008070764748965e+01
5.660000000000000142e+00 9.834031586749074627e-01 0.000000000000000000e+00 4.291445559394473008e+01
5.679998999999999576e+00 9.847331042698127535e-01 0.000000000000000000e+00 4.327670656705820562e+01
5.700000000000000178e+00 9.865988951790468642e-01 0.000000000000000000e+00 4.366459962864139754e+01
5.719998999999999612e+00 9.888913296530092989e-01 0.000000000000000000e+00 4.407371115253067018e+01
5.740000000000000213e+00 9.914711565678404614e-01 0.000000000000000000e+00 4.449825858597677808e+01
5.759998999999999647e+00 9.941840928186811421e-01 0.000000000000000000e+00 4.493148499128683682e+01
